,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
5,p-sgd,quadratic,mse,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,4243,0.4385134316980839,0.0031667398870922625,6.019904136657715
6,p-sgd,quadratic,mse,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,5009,0.10561082698404788,0.000821452027594205,6.5226197242736825
7,p-sgd,quadratic,mse,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,2266,0.3998323418200016,0.003132357553113252,5.541273593902588
8,p-sgd,quadratic,mse,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,7752,0.14613667875528336,0.001215508920722641,11.21884059906006
9,p-sgd,quadratic,mse,1.0,1024,1,128,0.002,0.9,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,5732,0.13376820646226406,0.0011000984195561614,7.016524791717528
0,p-sgd,quadratic,mse,4.0,1024,1,512,0.002,0.9,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,1359,0.03727800166234374,7.295684918062761e-05,0.0009619955671951176
1,p-sgd,quadratic,mse,4.0,1024,1,512,0.002,0.9,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,728,0.03671388980001211,6.601316181331639e-05,0.0009794016368687153
2,p-sgd,quadratic,mse,4.0,1024,1,512,0.002,0.9,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,1392,0.025964902015402917,5.049929268352571e-05,0.0009308428852818906
3,p-sgd,quadratic,mse,4.0,1024,1,512,0.002,0.9,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,564,0.05109868152067065,0.00010232038948743138,0.0009576838929206133
4,p-sgd,quadratic,mse,4.0,1024,1,512,0.002,0.9,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,1242,0.04412875371053815,8.821078381515691e-05,0.0009879468707367778
5,p-sgd,quadratic,mse,4.0,1024,1,512,0.002,0.9,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,954,0.04118689033202827,8.774422531132585e-05,0.0009890265064314008
6,p-sgd,quadratic,mse,4.0,1024,1,512,0.002,0.9,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,963,0.031217110576108095,6.081660649215337e-05,0.000952885253354907
7,p-sgd,quadratic,mse,4.0,1024,1,512,0.002,0.9,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,923,0.034580978564918034,6.447947089327499e-05,0.0009978405432775617
8,p-sgd,quadratic,mse,4.0,1024,1,512,0.002,0.9,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,722,0.04442806588485837,8.218935090553714e-05,0.0009896224364638329
9,p-sgd,quadratic,mse,4.0,1024,1,512,0.002,0.9,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,719,0.032986853271722794,7.13580370756972e-05,0.0009623994119465351
0,p-sgd,quadratic,mse,1.5,1024,1,192,0.002,0.9,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,3159,3.330510288476944,0.018189036287367344,8.333200454711914
1,p-sgd,quadratic,mse,1.5,1024,1,192,0.002,0.9,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,3641,4.9601343870162955,0.02386613911949098,9.837197303771973
2,p-sgd,quadratic,mse,1.5,1024,1,192,0.002,0.9,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,3987,3.4335627257823944,0.018704186193645,19.4633731842041
3,p-sgd,quadratic,mse,1.5,1024,1,192,0.002,0.9,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,2185,5.305022120475768,0.030441862298175693,7.24380350112915
4,p-sgd,quadratic,mse,1.5,1024,1,192,0.002,0.9,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,3459,11.211938738822935,0.06113628693856299,6.483747482299805
5,p-sgd,quadratic,mse,1.5,1024,1,192,0.002,0.9,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,4118,3.90782031416893,0.0204124057199806,6.777122020721436
6,p-sgd,quadratic,mse,1.5,1024,1,192,0.002,0.9,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,2096,6.334017276763916,0.031297996873036034,8.909675598144531
7,p-sgd,quadratic,mse,1.5,1024,1,192,0.002,0.9,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,2970,5.119304835796356,0.0255095197353512,7.918956279754639
