,activation,batchsize,early_stopping_epochs,epoch,loss,loss_eps,lr,momentum,nepochs,nesterov,nfeatures,nhidden,nruns,ntest,optim,project_on_sphere,samplecomplexity,seed,startseed,symmetric_door_k,tau,test error,train error,train loss,weightdecay
4,quadratic,1024,,22,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,8.0,27,22,0.6744899999999999,1.0,0.00046058211592026055,0.0008562860530219041,0.8768369182944298,0
5,quadratic,1024,,37,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,8.0,28,22,0.6744899999999999,1.0,0.0007739877910353242,0.0008644123881822452,0.8851582854986191,0
6,quadratic,1024,,48,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,8.0,29,22,0.6744899999999999,1.0,0.0008739283657632767,0.0014914116763975473,1.5272055566310885,0
7,quadratic,1024,,42,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,8.0,30,22,0.6744899999999999,1.0,0.0008206659695133567,0.0013336400734260678,1.3656474351882937,0
8,quadratic,1024,,26,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,8.0,31,22,0.6744899999999999,1.0,0.0003904236073140055,0.0005375769178499468,0.5504787638783455,0
9,quadratic,1024,,25,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,sgd,,8.0,32,22,0.6744899999999999,1.0,0.0009132184204645457,0.001111688296077773,1.1383688151836395,0
0,quadratic,1536,-1.0,100014,mse,1e-08,0.01,0.0,10000,False,1024,1,10,100,gd,True,1.5,23,22,0.6744899999999999,2.0,2.705040693283081,0.15775512158870694,242.31185913085938,0
1,quadratic,1536,-1.0,100014,mse,1e-08,0.01,0.0,10000,False,1024,1,10,100,gd,True,1.5,24,22,0.6744899999999999,2.0,3.481210947036743,0.13158969581127167,202.1217803955078,0
2,quadratic,1536,-1.0,100014,mse,1e-08,0.01,0.0,10000,False,1024,1,10,100,gd,True,1.5,25,22,0.6744899999999999,2.0,4.981909275054932,0.14070409536361694,216.1214904785156,0
3,quadratic,1536,-1.0,100014,mse,1e-08,0.01,0.0,10000,False,1024,1,10,100,gd,True,1.5,26,22,0.6744899999999999,2.0,3.3918247222900386,0.1460859179496765,224.38796997070312,0
4,quadratic,1536,-1.0,100014,mse,1e-08,0.01,0.0,10000,False,1024,1,10,100,gd,True,1.5,27,22,0.6744899999999999,2.0,2.8246037960052486,0.128000408411026,196.60862731933597,0
5,quadratic,1536,-1.0,100014,mse,1e-08,0.01,0.0,10000,False,1024,1,10,100,gd,True,1.5,28,22,0.6744899999999999,2.0,3.090822458267212,0.13276520371437073,203.92735290527344,0
6,quadratic,1536,-1.0,100014,mse,1e-08,0.01,0.0,10000,False,1024,1,10,100,gd,True,1.5,29,22,0.6744899999999999,2.0,2.716862201690674,0.11649063974618913,178.92962646484375,0
7,quadratic,1536,-1.0,100014,mse,1e-08,0.01,0.0,10000,False,1024,1,10,100,gd,True,1.5,30,22,0.6744899999999999,2.0,3.009597063064575,0.1248905435204506,191.83187866210938,0
8,quadratic,1536,-1.0,100014,mse,1e-08,0.01,0.0,10000,False,1024,1,10,100,gd,True,1.5,31,22,0.6744899999999999,2.0,1.8295974731445312,0.13791096210479736,211.83123779296875,0
9,quadratic,1536,-1.0,100014,mse,1e-08,0.01,0.0,10000,False,1024,1,10,100,gd,True,1.5,32,22,0.6744899999999999,2.0,2.7657544612884517,0.14857544004917145,228.21188354492188,0
0,quadratic,256,-1.0,5521,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,0.5,23,22,0.6744899999999999,2.0,2.988331079483032,7.648398359094699e-09,1.816318729197519e-06,0
1,quadratic,256,-1.0,3889,mse,1e-08,0.01,0.9,10000,True,1024,1,10,100,p-sgd,True,0.5,24,22,0.6744899999999999,2.0,2.624342441558838,9.987684901346938e-09,2.596798026388569e-06,0
0,quadratic,1280,,45,mse,1e-08,0.01,0.0,2000,False,1024,1,10,100,p-sgd,,10.0,23,22,0.6744899999999999,1.0,0.0007055462338030338,0.00014015907072462142,0.1804107315838337,0
