,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
5,p-sgd,symmetric-door,logloss,20.0,1024,1,2560,0.01,0.0,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,1190,1096.5743408203123,0.4150376059114933,0.5
6,p-sgd,symmetric-door,logloss,20.0,1024,1,2560,0.01,0.0,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,1700,1101.1344146728516,0.4008655287325382,0.41999998688697815
7,p-sgd,symmetric-door,logloss,20.0,1024,1,2560,0.01,0.0,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,1692,1089.1522216796877,0.3868404105305672,0.4600000083446503
8,p-sgd,symmetric-door,logloss,20.0,1024,1,2560,0.01,0.0,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,2133,1075.339096069336,0.38499387726187706,0.5799999833106995
9,p-sgd,symmetric-door,logloss,20.0,1024,1,2560,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,1814,1114.438705444336,0.39020200446248055,0.5400000214576721
0,p-sgd,symmetric-door,logloss,5.0,1024,2,640,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,1838,345.62254333496094,0.4650201611220837,1.0800000429153442
1,p-sgd,symmetric-door,logloss,5.0,1024,2,640,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,4128,319.41936492919916,0.42555735632777214,0.9399999976158142
2,p-sgd,symmetric-door,logloss,5.0,1024,2,640,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,2495,327.5643615722656,0.4742471985518932,1.0800000429153442
3,p-sgd,symmetric-door,logloss,5.0,1024,2,640,0.01,0.0,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,6634,267.7323417663574,0.32437898218631744,0.6600000262260437
4,p-sgd,symmetric-door,logloss,5.0,1024,2,640,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,2550,347.01844024658203,0.5018131211400032,1.2200000286102295
5,p-sgd,symmetric-door,logloss,5.0,1024,2,640,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,6769,260.4702205657959,0.2991599924862385,0.6600000262260437
6,p-sgd,symmetric-door,logloss,5.0,1024,2,640,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,4615,260.45684814453125,0.34044748917222023,0.6399999856948853
7,p-sgd,symmetric-door,logloss,5.0,1024,2,640,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,1942,348.7487106323242,0.4879796802997589,1.1200000047683716
8,p-sgd,symmetric-door,logloss,5.0,1024,2,640,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,3518,335.63751220703125,0.4824913181364536,1.2200000286102295
9,p-sgd,symmetric-door,logloss,5.0,1024,2,640,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,2986,332.6970596313477,0.4618459157645702,0.9200000166893004
0,sgd,symmetric-door,logloss,1.5,1024,2,192,0.01,0.0,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,20002,64.30895900726318,0.1692708320915699,1.1200000047683716
