,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
8,p-sgd,quadratic,mse,6.0,1024,10,0.005,0.9,True,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,3344,2000,0.20345795899629596,6.59080942568835e-05,0.0009966081706807015,100
9,p-sgd,quadratic,mse,6.0,1024,10,0.005,0.9,True,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,3072,3719,2000,0.18538617342710492,5.872189285582863e-05,0.0009987489320337772,100
0,gd,quadratic,mse,6.0,1024,5,0.005,0.0,False,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,7704,2000,0.5677452683448792,9.24064588616602e-05,0.0009998746681958435,100
1,gd,quadratic,mse,6.0,1024,5,0.005,0.0,False,24,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,7665,2000,0.6033806800842285,9.820648847380652e-05,0.0009998225141316652,100
2,gd,quadratic,mse,6.0,1024,5,0.005,0.0,False,25,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,6989,2000,0.6908466815948486,0.00011244249617448077,0.0009998090099543333,100
3,gd,quadratic,mse,6.0,1024,5,0.005,0.0,False,26,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,6953,2000,0.6764859557151794,0.00011010513844667004,0.000999967334792018,100
4,gd,quadratic,mse,6.0,1024,5,0.005,0.0,False,27,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,7390,2000,0.7141674757003784,0.00011623819591477512,0.0009999824687838554,100
5,gd,quadratic,mse,6.0,1024,5,0.005,0.0,False,28,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,9651,2000,0.5854491591453552,9.528794907964766e-05,0.000999872456304729,100
6,gd,quadratic,mse,6.0,1024,5,0.005,0.0,False,29,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,8153,2000,0.6519538760185242,0.00010611228208290413,0.000999735202640295,100
7,gd,quadratic,mse,6.0,1024,5,0.005,0.0,False,30,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,8055,2000,0.5842263102531433,9.508891525911169e-05,0.0009998222813010216,100
8,gd,quadratic,mse,6.0,1024,5,0.005,0.0,False,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,8273,2000,0.5973536372184753,9.722552931634708e-05,0.0009998573223128917,100
9,gd,quadratic,mse,6.0,1024,5,0.005,0.0,False,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,6144,7369,2000,0.7108310461044312,0.00011569515481824055,0.0009997752495110037,100
