,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weightdecay,epoch,train loss,train error,test error
6,p-sgd,symmetric-door,logloss,10.0,1024,1,5120,0.01,0.0,False,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2435.43017578125,0.12467768415808678,0.239999994635582
7,p-sgd,symmetric-door,logloss,10.0,1024,1,5120,0.01,0.0,False,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2465.095947265625,0.12285763770341873,0.25999999046325684
8,p-sgd,symmetric-door,logloss,10.0,1024,1,5120,0.01,0.0,False,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2466.425048828125,0.1302521526813507,0.3799999952316284
9,p-sgd,symmetric-door,logloss,10.0,1024,1,5120,0.01,0.0,False,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2502.8306884765625,0.12162184342741965,0.25999999046325684
0,p-sgd,symmetric-door,square,20.0,1024,1,10240,0.01,0.0,False,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2078.7451171875,0.0803501307964325,0.1599999964237213
1,p-sgd,symmetric-door,square,20.0,1024,1,10240,0.01,0.0,False,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2029.3218383789065,0.07862481474876404,0.18000000715255735
2,p-sgd,symmetric-door,square,20.0,1024,1,10240,0.01,0.0,False,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,5117,2025.455810546875,0.0759691447019577,0.019999999552965164
3,p-sgd,symmetric-door,square,20.0,1024,1,10240,0.01,0.0,False,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,9494,2030.269287109375,0.08402945101261139,0.019999999552965164
4,p-sgd,symmetric-door,square,20.0,1024,1,10240,0.01,0.0,False,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,6488,2052.4942626953125,0.08523894846439363,0.019999999552965164
5,p-sgd,symmetric-door,square,20.0,1024,1,10240,0.01,0.0,False,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2041.19482421875,0.08063295483589172,0.1599999964237213
6,p-sgd,symmetric-door,square,20.0,1024,1,10240,0.01,0.0,False,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,5435,2035.9928588867188,0.0801171287894249,0.019999999552965164
7,p-sgd,symmetric-door,square,20.0,1024,1,10240,0.01,0.0,False,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2047.537841796875,0.08018269389867783,0.18000000715255735
8,p-sgd,symmetric-door,square,20.0,1024,1,10240,0.01,0.0,False,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,10551,2049.1055908203125,0.08710953965783119,0.019999999552965164
9,p-sgd,symmetric-door,square,20.0,1024,1,10240,0.01,0.0,False,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,18974,2044.7971801757806,0.08446018025279045,0.019999999552965164
0,p-sgd,symmetric-door,square,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,495,18.967920303344727,0.0,1.0599999427795408
1,p-sgd,symmetric-door,square,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,660,18.171955108642575,0.0,0.9399999976158142
2,p-sgd,symmetric-door,square,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,260,21.41141700744629,0.0,0.8799999952316284
3,p-sgd,symmetric-door,square,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,560,21.044814109802246,0.0,1.0800000429153442
4,p-sgd,symmetric-door,square,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,784,22.58919715881348,0.0,1.1399999856948853
5,p-sgd,symmetric-door,square,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,453,20.570321083068848,0.0,1.0399999618530271
6,p-sgd,symmetric-door,square,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,175,24.83943748474121,0.0,0.9800000190734864
7,p-sgd,symmetric-door,square,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,130,26.14642333984375,0.0,1.1399999856948853
8,p-sgd,symmetric-door,square,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,407,20.665525436401367,0.0,1.0199999809265137
9,p-sgd,symmetric-door,square,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,450,21.245259284973145,0.0,1.0199999809265137
0,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,459.742919921875,0.16796875,1.100000023841858
1,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,466.1304931640625,0.169921875,1.0599999427795408
2,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,20002,463.1917419433594,0.15234375,1.0
3,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,20002,457.91705322265625,0.140625,1.0399999618530271
4,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,20002,468.9851379394531,0.169921875,1.0
5,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,461.97705078125,0.13671875,1.0800000429153442
6,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,20002,467.2770080566406,0.166015625,0.9200000166893004
7,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,466.8628845214844,0.17578125,0.8999999761581421
8,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,20002,466.555419921875,0.15234375,1.2400000095367432
9,gd,symmetric-door,logloss,1.0,1024,1,1024,0.01,0.0,False,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,20002,458.7144165039063,0.14453125,1.1399999856948853
0,sgd,symmetric-door,logloss,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,226.6833724975586,0.158203125,1.1200000047683716
1,sgd,symmetric-door,logloss,1.0,1024,1,512,0.005,0.9,True,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,232.92992401123047,0.15234375,1.0800000429153442
