,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
4,p-sgd,symmetric-door,logloss,5.0,1024,5,0.005,0.0,False,27,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2560,10001,1000,1539.9321899414062,0.1260092929005623,0.9800000190734864,100
5,p-sgd,symmetric-door,logloss,5.0,1024,5,0.005,0.0,False,28,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2560,10001,1000,1531.5513305664062,0.14552686363458633,0.8999999761581421,100
6,p-sgd,symmetric-door,logloss,5.0,1024,5,0.005,0.0,False,29,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2560,10001,1000,1547.7706298828125,0.16643660515546801,0.959999978542328,100
7,p-sgd,symmetric-door,logloss,5.0,1024,5,0.005,0.0,False,30,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2560,10001,1000,1492.5303955078125,0.14998981356620789,0.9399999976158142,100
8,p-sgd,symmetric-door,logloss,5.0,1024,5,0.005,0.0,False,31,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2560,10001,1000,1563.1239013671875,0.1236431822180748,0.7400000095367432,100
9,p-sgd,symmetric-door,logloss,5.0,1024,5,0.005,0.0,False,32,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,2560,10001,1000,1591.1370239257812,0.14220184087753296,1.0,100
0,p-sgd,symmetric-door,logloss,0.5,1024,2,0.005,0.9,True,23,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,256,894,1000,130.10079956054688,0.0,1.1399999856948853,100
1,p-sgd,symmetric-door,logloss,0.5,1024,2,0.005,0.9,True,24,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,256,683,1000,135.87691497802734,0.0,0.8399999737739563,100
2,p-sgd,symmetric-door,logloss,0.5,1024,2,0.005,0.9,True,25,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,256,466,1000,133.51731872558594,0.0,1.0,100
3,p-sgd,symmetric-door,logloss,0.5,1024,2,0.005,0.9,True,26,22,absolute,symmetric-door,1e-08,2.0,0.6744899999999999,True,-1,0,256,622,1000,128.31427764892578,0.0,1.0599999427795408,100
