,optim,train,features,hidden,size,lr,momentum,nesterov,epochs,decay,test,seed,runs,seed,epoch,train loss,test loss
8,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,14,64000,773.0374755859375,3349.6767578125
9,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,15,64000,963.5474853515624,4097.42431640625
10,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,16,64000,2.2097890450822892e-06,1.1898444427060895e-05
11,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,17,64000,968.0764770507812,4327.46728515625
12,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,18,64000,1010.4794311523438,5287.455078125
13,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,19,64000,907.3416137695312,3694.96435546875
14,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,20,64000,2.1988560092722764e-06,1.107308708014898e-05
15,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,21,64000,1.970760877156863e-06,1.1389900464564564e-05
16,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,22,64000,2.050365083050565e-06,1.1468709089967888e-05
17,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,23,64000,971.388427734375,5375.3056640625
18,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,24,64000,918.0667114257812,3981.656982421875
19,gd,1200,256,1,1200,0.0001,0.0,False,8000,0,1200,5,20,25,64000,2.082676019199425e-06,1.1622122656262945e-05
0,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,6,14000,3.413350668779458e-08,1.4455116570388782e-07
1,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,7,14000,1031.578125,4339.04541015625
2,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,8,14000,3.1677654277473266e-08,1.3063677783975436e-07
3,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,9,14000,3.4841260543316814e-08,1.5926475782634952e-07
4,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,10,14000,3.407748394579357e-08,1.357941243895766e-07
5,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,11,14000,3.15883426083019e-08,1.1422256562809709e-07
6,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,12,14000,3.3010600475336105e-08,1.4915690371708481e-07
7,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,13,14000,3.3154716305716654e-08,1.3562731737692954e-07
8,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,14,14000,3.25332365491704e-08,1.244217031626249e-07
9,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,15,14000,3.476378651612322e-08,1.604938972832315e-07
10,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,16,14000,1003.3162841796876,3989.0849609375
11,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,17,14000,3.3018377365579e-08,1.2677129745952698e-07
12,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,18,14000,3.3348822370271585e-08,1.3552215705203707e-07
13,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,19,14000,3.2099393365569995e-08,1.3218908634371473e-07
14,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,20,14000,3.3932145981907524e-08,1.5658386587347195e-07
15,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,21,14000,3.14978123583387e-08,1.2477876509819907e-07
16,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,22,14000,3.2418938644696034e-08,1.4273923909513542e-07
17,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,23,14000,3.4116609981538204e-08,1.6042062611631988e-07
18,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,24,14000,3.424690930842189e-08,1.407438077194456e-07
19,gd,800,128,1,800,0.0004,0.0,False,2000,0,800,5,20,25,14000,3.166075401850321e-08,1.0995258037382881e-07
0,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,6,28000,1.0471595146555047e-07,3.9749951952217094e-07
1,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,7,28000,8.663094064331743e-08,3.0182164323377947e-07
2,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,8,28000,9.716985971408576e-08,3.658851426280307e-07
3,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,9,28000,9.96689095700276e-08,3.7966887589391263e-07
4,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,10,28000,1.0615695344995402e-07,3.9936134044182847e-07
5,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,11,28000,9.740016082560034e-08,3.4235347357025603e-07
6,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,12,28000,8.558729547303301e-08,3.2178562037188385e-07
7,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,13,28000,8.328630229925692e-08,3.175955498591065e-07
8,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,14,28000,1.0394060723228904e-07,3.974253957039764e-07
9,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,15,28000,9.680491075414467e-08,3.682003182348126e-07
10,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,16,28000,9.924223576263104e-08,3.6907240996697505e-07
11,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,17,28000,1.0005859962802786e-07,4.0429213754578097e-07
12,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,18,28000,1.0378319359460877e-07,3.7287114196260523e-07
13,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,19,28000,9.672141487726546e-08,3.674579431844904e-07
14,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,20,28000,8.783835170333988e-08,3.339194734053308e-07
15,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,21,28000,9.969058822889564e-08,3.993167752014415e-07
16,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,22,28000,1521.276611328125,3961.0869140625
17,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,23,28000,8.740035184473528e-08,3.294417467714084e-07
18,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,24,28000,9.850785431808617e-08,3.7836829847037723e-07
19,gd,1000,128,1,1000,0.0002,0.0,False,4000,0,1000,5,20,25,28000,9.530803879442827e-08,3.8544203562196334e-07
