,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,seed,epoch,train loss,test loss
8,gd,6.0,1024,2,6144,0.001,0.0,False,8000,0,100,32,10,41,3800,2.2215280532836914,0.4308108389377594
9,gd,6.0,1024,2,6144,0.001,0.0,False,8000,0,100,32,10,42,6500,1.7064428329467771,0.4104025959968567
0,gd,4.0,1024,2,4096,0.01,0.0,False,10000,0,100,32,5,33,3400,0.25149232149124146,0.09890218079090117
1,gd,4.0,1024,2,4096,0.01,0.0,False,10000,0,100,32,5,34,2900,0.18030135333538053,0.09821850806474686
2,gd,4.0,1024,2,4096,0.01,0.0,False,10000,0,100,32,5,35,3200,0.1349945068359375,0.09967517107725143
3,gd,4.0,1024,2,4096,0.01,0.0,False,10000,0,100,32,5,36,3500,0.10112856328487396,0.09516501426696776
4,gd,4.0,1024,2,4096,0.01,0.0,False,10000,0,100,32,5,37,3500,0.15706093609333038,0.09759686887264253
0,sgd,3.5,1024,1,32,0.002,0.9,False,400,0,100,22,5,23,400,0.00017973278454519462,0.0014286743535194546
1,sgd,3.5,1024,1,32,0.002,0.9,False,400,0,100,22,5,24,3900,21.06550933633532,128.60817766189578
2,sgd,3.5,1024,1,32,0.002,0.9,False,400,0,100,22,5,25,3900,17.852178475686483,113.12367534637451
0,gd,2.5,1024,5,2560,0.01,0.9,False,10000,0,100,22,5,23,100000,0.0015471730148419738,13.948118209838867
1,gd,2.5,1024,5,2560,0.01,0.9,False,10000,0,100,22,5,24,100000,0.002216337714344263,24.564542770385746
2,gd,2.5,1024,5,2560,0.01,0.9,False,10000,0,100,22,5,25,100000,0.0017503343988209965,15.480142593383787
3,gd,2.5,1024,5,2560,0.01,0.9,False,10000,0,100,22,5,26,100000,0.0017101903213188052,16.601207733154293
4,gd,2.5,1024,5,2560,0.01,0.9,False,10000,0,100,22,5,27,100000,0.0016764674801379444,13.034027099609375
0,gd,2.5,1024,2,2560,0.01,0.9,False,10000,0,100,22,5,23,14000,0.007137975189834833,0.09915724396705627
1,gd,2.5,1024,2,2560,0.01,0.9,False,10000,0,100,22,5,24,100000,85.9050064086914,430.0631103515625
2,gd,2.5,1024,2,2560,0.01,0.9,False,10000,0,100,22,5,25,16400,0.0059412429109215745,0.0977231338620186
3,gd,2.5,1024,2,2560,0.01,0.9,False,10000,0,100,22,5,26,6800,0.007747000548988582,0.09807779639959337
4,gd,2.5,1024,2,2560,0.01,0.9,False,10000,0,100,22,5,27,100000,85.4344253540039,531.7943115234375
0,gd,2.0,1024,5,2048,0.01,0.0,False,10000,0,100,27,5,28,53500,0.10467502474784852,267.5101928710937
1,gd,2.0,1024,5,2048,0.01,0.0,False,10000,0,100,27,5,29,55200,0.11096877604722977,264.266845703125
2,gd,2.0,1024,5,2048,0.01,0.0,False,10000,0,100,27,5,30,49900,0.11168340593576433,238.6980438232422
3,gd,2.0,1024,5,2048,0.01,0.0,False,10000,0,100,27,5,31,54400,0.08241298794746399,208.70738220214844
4,gd,2.0,1024,5,2048,0.01,0.0,False,10000,0,100,27,5,32,61900,0.11086052656173706,299.43756103515625
0,gd,7.0,1024,1,7168,0.001,0.0,False,8000,0,100,32,10,33,700,0.24066367745399475,0.01161830872297287
1,gd,7.0,1024,1,7168,0.001,0.0,False,8000,0,100,32,10,34,400,1.8206502199172971,0.0582418330013752
2,gd,7.0,1024,1,7168,0.001,0.0,False,8000,0,100,32,10,35,400,0.2137839049100876,0.016662081703543663
3,gd,7.0,1024,1,7168,0.001,0.0,False,8000,0,100,32,10,36,1600,0.540675163269043,0.02879645675420761
4,gd,7.0,1024,1,7168,0.001,0.0,False,8000,0,100,32,10,37,600,0.11845525354146955,0.006412256043404341
5,gd,7.0,1024,1,7168,0.001,0.0,False,8000,0,100,32,10,38,700,0.12985409796237946,0.006050223484635353
6,gd,7.0,1024,1,7168,0.001,0.0,False,8000,0,100,32,10,39,8000,0.6385676860809326,0.0230795256793499
7,gd,7.0,1024,1,7168,0.001,0.0,False,8000,0,100,32,10,40,400,0.6908412575721741,0.028546396642923355
8,gd,7.0,1024,1,7168,0.001,0.0,False,8000,0,100,32,10,41,3300,0.7561287879943848,0.03142380341887474
9,gd,7.0,1024,1,7168,0.001,0.0,False,8000,0,100,32,10,42,800,2.0463418960571294,0.09826675802469254
0,gd,3.0,1024,1,3072,0.002,0.9,False,2000,0,100,22,5,23,20000,1490.654541015625,883.110107421875
1,gd,3.0,1024,1,3072,0.002,0.9,False,2000,0,100,22,5,24,20000,1297.4285888671875,614.0513305664062
2,gd,3.0,1024,1,3072,0.002,0.9,False,2000,0,100,22,5,25,20000,1440.31298828125,656.3038330078125
3,gd,3.0,1024,1,3072,0.002,0.9,False,2000,0,100,22,5,26,20000,1482.9224853515625,884.1406860351562
4,gd,3.0,1024,1,3072,0.002,0.9,False,2000,0,100,22,5,27,20000,1404.9642333984375,638.9146728515625
0,gd,3.0,1024,10,3072,0.002,0.9,False,10000,0,100,27,5,28,100000,0.04404343292117119,6.439339637756348
1,gd,3.0,1024,10,3072,0.002,0.9,False,10000,0,100,27,5,29,100000,0.04798707365989685,4.890484809875488
2,gd,3.0,1024,10,3072,0.002,0.9,False,10000,0,100,27,5,30,100000,0.04765034466981888,6.11004114151001
3,gd,3.0,1024,10,3072,0.002,0.9,False,10000,0,100,27,5,31,100000,0.050655320286750787,6.473568916320801
4,gd,3.0,1024,10,3072,0.002,0.9,False,10000,0,100,27,5,32,100000,0.04661385715007782,6.4783196449279785
0,gd,2.0,1024,2,2048,0.002,0.9,False,10000,0,100,22,5,23,100000,6.0699381828308105,714.1632690429688
1,gd,2.0,1024,2,2048,0.002,0.9,False,10000,0,100,22,5,24,100000,5.779386520385742,569.707763671875
