,optim,train,features,hidden,size,lr,momentum,nesterov,epochs,decay,test,seed,runs,seed,epoch,train loss,test loss
17,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,23,100800,0.012111394666135313,0.07912217825651169
18,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,24,100800,0.010836049914360045,0.058983996510505676
19,gd,256,32,10,32,0.0005,0.0,False,20000,0,256,5,20,25,100800,0.012259136885404587,0.07859371602535248
0,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,6,50400,0.0025846627540886398,0.10937413573265076
1,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,7,50400,0.0024785443674772978,0.10306358337402344
2,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,8,50400,0.002676032250747085,0.11411645263433455
3,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,9,50400,0.002734513022005558,0.1199902892112732
4,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,10,50400,0.00260730623267591,0.11002383381128313
5,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,11,50400,0.0026956379879266024,0.11482463777065274
6,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,12,50400,0.0027266640681773424,0.11695987731218338
7,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,13,50400,0.002683961763978005,0.12129761278629304
8,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,14,50400,0.0026975953951478004,0.11670923233032228
9,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,15,50400,0.002793037798255682,0.11895618587732315
10,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,16,50400,0.0026686273049563174,0.11578743159770966
11,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,17,50400,0.002863527974113822,0.12700355052947998
12,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,18,50400,0.002751252381131053,0.11616158485412598
13,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,19,50400,0.0026259359437972307,0.11100022494792937
14,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,20,50400,0.0026494073681533337,0.1159457415342331
15,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,21,50400,0.002692899666726589,0.11727631837129593
16,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,22,50400,0.0027921500150114302,0.12055397033691405
17,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,23,50400,0.0027368268929421897,0.11534874141216278
18,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,24,50400,0.002724987221881747,0.1165001541376114
19,gd,128,32,32,32,0.002,0.9,False,10000,0,128,5,20,25,50400,0.0026315839495509863,0.11607328802347185
0,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,6,50400,0.03703988855704665,1.157998099923134
1,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,7,50400,0.03224709955975413,0.944849207997322
2,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,8,50400,0.03746694698929787,1.2065213620662691
3,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,9,50400,0.04057963890954852,1.39414082467556
4,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,10,50400,0.036503374110907316,1.1741245239973068
5,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,11,50400,0.03799415472894907,1.2446952015161514
6,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,12,50400,0.04155151452869177,1.3922905623912811
7,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,13,50400,0.03863148903474212,1.3507811725139618
8,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,14,50400,0.03746437514200807,1.2648170590400696
9,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,15,50400,0.04029170516878367,1.3058477342128754
10,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,16,50400,0.039240325801074505,1.2573579549789429
11,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,17,50400,0.04389931913465262,1.5417436063289642
12,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,18,50400,0.04297489812597632,1.3818686604499817
13,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,19,50400,0.03740180656313896,1.16989978402853
14,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,20,50400,0.037416020408272736,1.2367844432592392
15,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,21,50400,0.03871989343315363,1.3138916343450546
16,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,22,50400,0.041637465357780463,1.420046582818031
17,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,23,50400,0.03944041300565004,1.2951279431581495
18,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,24,50400,0.03863191418349743,1.2667293101549149
19,sgd,128,32,32,32,0.002,0.0,False,10000,0,128,5,20,25,50400,0.038397542666643865,1.2511489912867546
0,gd,256,32,32,32,0.002,0.0,False,10000,0,256,5,20,6,50400,0.028785644099116325,0.1635601371526718
1,gd,256,32,32,32,0.002,0.0,False,10000,0,256,5,20,7,50400,0.030192140489816662,0.18098075687885284
