,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,tau,seed,epoch,train error,test error
2,p-sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,25,20002,0.00011269416998922158,0.048376437276601784
3,p-sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,26,20002,9.996370499720796e-05,0.03910412639379501
4,p-sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,27,20002,9.160200845924141e-05,0.03910086303949356
5,p-sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,28,20002,0.00012886823917922032,0.05256124585866928
6,p-sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,29,20002,9.270113592460152e-05,0.043392263352870934
7,p-sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,30,20002,0.00010112353473752072,0.041307903826236725
8,p-sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,31,20002,0.00011649983467317984,0.04977104812860489
9,p-sgd,3.5,1024,10,128,0.002,0.9,False,2000,0,100,22,10,1.0,32,20002,9.635004270031848e-05,0.04390712082386017
0,sgd,3.0,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,33,20002,0.4632876142859459,5.008160591125488
1,sgd,3.0,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,34,20002,0.4723583993812402,6.701505184173584
2,sgd,3.0,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,35,20002,0.4793970522781213,6.5998077392578125
3,sgd,3.0,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,36,20002,0.4321276247501373,6.4469895362854
4,sgd,3.0,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,37,20002,0.4689014380176862,7.066749095916747
5,sgd,3.0,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,38,20002,0.4447109426061313,6.907060623168945
6,sgd,3.0,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,39,20002,0.4727722456057866,6.4373836517333975
7,sgd,3.0,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,40,20002,0.4105208441615105,7.462313175201416
8,sgd,3.0,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,41,20002,0.4722416972120603,7.254776000976562
9,sgd,3.0,1024,1,128,0.01,0.0,False,2000,0,100,32,10,1.0,42,20002,0.4356014430522919,6.399165153503418
0,p-sgd,4.0,1024,2,128,0.002,0.9,False,2000,0,100,22,10,2.0,23,2659,2.8217530939400604e-05,0.000972624693531543
1,p-sgd,4.0,1024,2,128,0.002,0.9,False,2000,0,100,22,10,2.0,24,2767,3.1236456038641336e-05,0.0009979065507650378
2,p-sgd,4.0,1024,2,128,0.002,0.9,False,2000,0,100,22,10,2.0,25,3125,2.8038691027632012e-05,0.0009929046500474217
3,p-sgd,4.0,1024,2,128,0.002,0.9,False,2000,0,100,22,10,2.0,26,3247,3.3602958581013816e-05,0.000986024271696806
4,p-sgd,4.0,1024,2,128,0.002,0.9,False,2000,0,100,22,10,2.0,27,3640,3.0952028282627004e-05,0.0009826425230130553
5,p-sgd,4.0,1024,2,128,0.002,0.9,False,2000,0,100,22,10,2.0,28,2790,2.9681920068469484e-05,0.0009920008014887571
6,p-sgd,4.0,1024,2,128,0.002,0.9,False,2000,0,100,22,10,2.0,29,3633,4.064545009896392e-05,0.0009926653001457453
7,p-sgd,4.0,1024,2,128,0.002,0.9,False,2000,0,100,22,10,2.0,30,2718,3.641874741333595e-05,0.0009994013234972954
8,p-sgd,4.0,1024,2,128,0.002,0.9,False,2000,0,100,22,10,2.0,31,2472,3.3877688792927074e-05,0.000987163046374917
9,p-sgd,4.0,1024,2,128,0.002,0.9,False,2000,0,100,22,10,2.0,32,3495,2.853965037274975e-05,0.000978277064859867
0,p-sgd,4.0,1024,5,128,0.01,0.0,False,2000,0,100,22,10,1.0,23,20002,2.052244792594138e-05,0.0018117347499355676
1,p-sgd,4.0,1024,5,128,0.01,0.0,False,2000,0,100,22,10,1.0,24,20002,2.5980581938256367e-05,0.0018027256010100245
2,p-sgd,4.0,1024,5,128,0.01,0.0,False,2000,0,100,22,10,1.0,25,20002,3.558830468364249e-05,0.005420735105872154
